name,type,mainDepartment,county,province,religion,registrationTime,registrationAuthority,registrationCertificateNumber,category,unifiedSocialCreditCode,address,city,phoneNumber,manager,postalCode,id,website
萧山区佛教协会,协会,ZJ-RELIGIOUSVENUE-GOV-12,萧山区,浙江省,佛教,1997/1/23,ZJ-RELIGIOUSGROUP-GOV-67,社证字第216号,县团体,51330109502098626T,浙江省杭州市萧山区萧然南路387号,杭州市,0571-82712139,ZJ-RELIGIOUSGROUP-PEOPLE-220,300201,萧山区佛教协会,
东阳市天主教爱国会,协会,ZJ-RELIGIOUSVENUE-GOV-70,东阳市,浙江省,天主教,1985/11/1,ZJ-RELIGIOUSGROUP-GOV-99,浙东社证字第62号,县团体,51330783MJ9678511Y,浙江省金华市东阳市横店镇新荷庄小区,金华市,13588625096,ZJ-RELIGIOUSGROUP-PEOPLE-244,322100,东阳市天主教爱国会,
普陀区佛教协会,协会,ZJ-RELIGIOUSVENUE-GOV-92,普陀区,浙江省,佛教,1995/4/20,ZJ-RELIGIOUSGROUP-GOV-41,舟普民社证字103号,县团体,513000000000000000,浙江省舟山市普陀区沈家门街道北安路88号,舟山市,0580-3065075,ZJ-RELIGIOUSGROUP-PEOPLE-229,316100,普陀区佛教协会,
临海市基督教三自爱国运动委员会,协会,ZJ-RELIGIOUSVENUE-GOV-48,临海市,浙江省,基督教,1986/1/1,ZJ-RELIGIOUSGROUP-GOV-5,浙临民社证字第020020,县团体,5133108250262071X4,浙江省台州市临海市古城街道四顾巷38号,台州市,0576-85112593,ZJ-RELIGIOUSGROUP-PEOPLE-195,317000,临海市基督教三自爱国运动委员会,
杭州市基督教协会,协会,ZJ-RELIGIOUSVENUE-GOV-108,330101,浙江省,基督教,1986/9/1,ZJ-RELIGIOUSGROUP-GOV-15,244,市团体,513000000000000000,浙江省杭州市解放路132号,杭州市,0571-87014766,ZJ-RELIGIOUSGROUP-PEOPLE-275,310009,杭州市基督教协会,
临安区基督教协会,协会,ZJ-RELIGIOUSVENUE-GOV-50,临安区,浙江省,基督教,1993/12/1,ZJ-RELIGIOUSGROUP-GOV-30,临社证字第0270号,县团体,5133018559955640X4,浙江省杭州市临安区锦北街道保锦路281号福音堂,杭州市,0571-63738096,ZJ-RELIGIOUSGROUP-PEOPLE-35,311300,临安区基督教协会,
丽水市佛教协会,协会,ZJ-RELIGIOUSVENUE-GOV-188,331101,浙江省,佛教,2005/7/1,ZJ-RELIGIOUSGROUP-GOV-37,丽市社证字第171号,市团体,51331100787725223H,丽水市莲都区天宁工业区311号,丽水市,13735901198,ZJ-RELIGIOUSGROUP-PEOPLE-43,323000,丽水市佛教协会,
绍兴市基督教三自爱国运动委员会,协会,ZJ-RELIGIOUSVENUE-GOV-41,越城区,浙江省,基督教,2004/2/9,ZJ-RELIGIOUSGROUP-GOV-66,绍社证字第630号,市团体,51330600502305218D,浙江省绍兴市东街81号,绍兴市,0575-85135269,ZJ-RELIGIOUSGROUP-PEOPLE-82,312000,绍兴市基督教三自爱国运动委员会,
遂昌县基督教三自爱国运动委员会,协会,ZJ-RELIGIOUSVENUE-GOV-62,遂昌县,浙江省,基督教,1988/12/1,ZJ-RELIGIOUSGROUP-GOV-25,EJ7452991,县团体,51331123A99165093P,浙江省丽水市遂昌县妙高街道西街81号,丽水市,18705886330,ZJ-RELIGIOUSGROUP-PEOPLE-226,323300,遂昌县基督教三自爱国运动委员会,
仙居县基督教三自爱国运动委员会,协会,ZJ-RELIGIOUSVENUE-GOV-59,仙居县,浙江省,基督教,1985/3/1,ZJ-RELIGIOUSGROUP-GOV-9,浙仙新证64001,县团体,513000000000000000,浙江省台州市仙居县城关耶稣堂巷15号,台州市,18958579236,ZJ-RELIGIOUSGROUP-PEOPLE-26,317300,仙居县基督教三自爱国运动委员会,
