name,type,bookLiteratureBorrowCount,bookShelfSingleLayerTotalLength,libraryLevel,libraryWebsiteAccess,actualPropertyArea,buildingArea,currentYearPurchasedPeriodicals,totalCirculationPersonTimes,totalCollection,county,isChildrenLibrary,isNormalOpen,validBorrowCardCount,newElectronicBookCount,newCollectionCount,electronicBook,organizationCode,computerCount,readingRoomSeatCount,address,city,phoneNumber,latitude,longitude,postalCode,id
余姚市图书馆,图书馆,2018年-1105568,2017年-6581,2017年-一级馆,2018年-89136,2018年-2287,2018年-3184,2018年-639,2016年-189708,2017年-699317,余姚市,否,正常活动,2017年-32501,2016年-2621,2017年-59168,2016年-19632,419642408,2016年-58,2016年-180,浙江省余姚市舜水南路106号,宁波市,62705920,30.046812,121.158486,315400,余姚市图书馆
三门县图书馆,图书馆,2016年-158000,2017年-522,2017年-二级馆,2017年-7010,2018年-2023,2016年-2212,2016年-400,2017年-833000,2018年-388150,三门县,否,正常活动,2018年-16614,2016年-0,2018年-36520,2017年-45217,754904102,2017年-45,2018年-414,三门县上洋路261号,台州市,83379152,29.128746,121.378171,317100,三门县图书馆
兰溪市图书馆,图书馆,2018年-254476,2016年-5116,2018年-一级馆,2016年-40566,2018年-5553,2016年-5553,2016年-547,2017年-226421,2018年-324347,兰溪市,否,正常活动,2018年-17227,2018年-0,2018年-20630,2017年-87570,TJ0781038,2016年-55,2017年-284,浙江省兰溪市李渔路180号,金华市,88895607,29.218867,119.464753,321100,兰溪市图书馆
浙江图书馆,图书馆,2018年-1739851,2018年-128396,2016年-一级馆,2018年-2.62E+07,2017年-51732,2016年-54500,2018年-6591,2016年-2590263,2018年-7051138,330101,否,正常活动,2017年-60833,2016年-210396,2017年-329549,2016年-1606546,470049722,2016年-540,2018年-1800,杭州曙光路73号,杭州市,87988591,30.270048,120.142979,310007,浙江图书馆
温岭市图书馆,图书馆,2017年-1483544,2017年-5532,2018年-一级馆,2016年-260458,2016年-4250,2016年-8065,2016年-630,2016年-2910726,2018年-1576316,温岭市,否,正常活动,2017年-39234,2017年-0,2017年-457473,2018年-123930,472723389,2016年-64,2018年-403,浙江省温岭市太平街道溪滨路58号,台州市,86223922,28.370035,121.379423,317500,温岭市图书馆
婺城区图书馆,图书馆,2018年-136476,2018年-320,2017年-无等级馆,2017年-86541,2017年-0,2017年-5200,2018年-289,2018年-212848,2016年-35330,婺城区,否,正常活动,2018年-4597,2016年-20000,2016年-5280,2016年-1020000,56894066,2017年-53,2018年-263,金华市临江东路8号,金华市,89802003,29.095096,119.583514,321000,婺城区图书馆
定海区图书馆,图书馆,2016年-474356,2018年-7100,2017年-一级馆,2016年-25384,2017年-3630,2016年-2800,2016年-753,2018年-402944,2018年-310068,定海区,否,正常活动,2018年-14769,2017年-0,2017年-27782,2016年-7943,05955194X,2017年-75,2018年-415,定海区环城西路98号,舟山市,2600303,30.019603,122.109902,316000,定海区图书馆
云和县图书馆,图书馆,2018年-145442,2017年-5141,2016年-一级馆,2017年-15000,2017年-0,2016年-3205,2017年-292,2018年-251341,2016年-192419,云和县,否,正常活动,2017年-13743,2018年-1580136,2016年-19296,2016年-1003800,472370683,2017年-72,2018年-460,云和县公园路100号,丽水市,5121509,28.119615,119.575539,323600,云和县图书馆
杭州市西湖区图书馆,图书馆,2016年-1632322,2016年-128,2018年-一级馆,2017年-309220,2017年-0,2016年-3200,2016年-580,2016年-789930,2016年-373749,西湖区,否,正常活动,2016年-37222,2018年-20591,2018年-28204,2018年-20591,78239260X,2017年-57,2018年-420,杭州市西湖区古墩路413号,杭州市,87981283,30.28891,120.105613,310007,杭州市西湖区图书馆
金华市少儿童图书馆,图书馆,2017年-380000,2016年-525,2018年-二级馆,2016年-40000,2016年-0,2016年-3700,2016年-655,2018年-433000,2018年-453983,330701,是,正常活动,2016年-19900,2017年-20226,2017年-30853,2018年-46581,471543159,2016年-92,2018年-528,金华市婺江东路238号,金华市,82325322,29.105071,119.663616,321000,金华市少儿童图书馆
