头实体,关系,尾实体
哈尔滨工程大学,所属机构,中华人民共和国工业和信息化部
私立大学,代表,哈佛大学
西南交通大学,所属机构,中华人民共和国教育部
中国社会科学出版社,创办,中国社会科学院
浙江大学,专职院士数,中国科学院
湖南师范大学,专职院士数,中国工程院院士
东南大学,所属机构,中华人民共和国教育部
北京交通大学,所属机构,中华人民共和国教育部
合肥工业大学,所属机构,中华人民共和国教育部
合肥工业大学,专职院士数,中国工程院院士
北京科技大学,所属机构,中华人民共和国教育部
厦门大学,所属机构,中华人民共和国教育部
墨尔本大学,院系设置,墨尔本商学院
北京体育大学,所属机构,国家体育总局
四川大学,所属机构,中华人民共和国教育部
中央音乐学院,所属机构,中华人民共和国教育部
东北师范大学,所属机构,中华人民共和国教育部
北京大学,所属机构,中华人民共和国教育部
北京现代音乐研修学院,所属机构,北京市教育委员会
西安交通大学,所属机构,中华人民共和国教育部
吉林大学,所属机构,中华人民共和国教育部
现代出版社,所属机构,中国出版传媒股份有限公司
无线电视艺员训练班,所属机构,香港电视广播有限公司
中国人民大学,所属机构,中华人民共和国教育部
清华大学,所属机构,中华人民共和国教育部
南开大学,所属机构,中华人民共和国教育部
同济大学,所属机构,中华人民共和国教育部
西南大学,所属机构,中华人民共和国教育部
华东理工大学,所属机构,中华人民共和国教育部
华南理工大学,所属机构,中华人民共和国教育部
武汉大学,专职院士数,中国科学院
香港大学,所属机构,香港特别行政区教育局
香港中文大学,所属机构,香港特别行政区教育局
北京林业大学,所属机构,中华人民共和国教育部
大连理工大学,所属机构,中华人民共和国教育部
中央民族大学,所属机构,中华人民共和国国家民族事务委员会
复旦大学,所属机构,中华人民共和国教育部
浙江大学,所属机构,中华人民共和国教育部
电子科技大学,所属机构,中华人民共和国教育部
香港树仁大学,所属机构,香港教育局
中国传媒大学,所属机构,中华人民共和国教育部
北京理工大学,所属机构,中华人民共和国工业和信息化部
学术研究恳谈会,相关国内联盟,八大学工学系联合会
中央财经大学,所属机构,中华人民共和国教育部
四川师范学院,所属机构,四川省人民政府
香港华仁书院,办学团体,耶稣会
经济管理出版社,所属机构,中国社会科学院
庆熙大学,所属机构,大韩民国教育部
香港浸会大学,所属机构,香港特别行政区教育局
中国妇女出版社,所属机构,中华全国妇女联合会
同志社大学,合作院校,中国海洋大学
北京理工大学,专职院士数,中国科学院
武汉大学,所属机构,中华人民共和国教育部
春风文艺出版社,所属机构,辽宁出版集团
清华大学,专职院士数,中国科学院
香港科技大学,所属机构,香港特别行政区教育局
中国工程院院士,设立单位,中华人民共和国国务院
中山大学,所属机构,中华人民共和国教育部
西北工业大学,所属机构,中华人民共和国工业和信息化部
南京大学,所属机构,中华人民共和国教育部
