头实体,关系,尾实体
中西部高校综合实力提升工程,类型,综合性大学
长治医学院,办学性质,公立大学
加利福尼亚大学洛杉矶分校,办学性质,公立大学
同志社大学,办学性质,日本私立大学
武汉大学,办学性质,公立大学
密德萨斯大学,办学性质,公立大学
耶鲁大学,学校特色,常春藤联盟
四川师范学院,办学性质,公立大学
延边大学,办学性质,公立大学
河北大学,学校特色,中西部高校综合实力提升工程
西安邮电大学,办学性质,公立大学
山东师范大学,办学性质,公立大学
台湾政治大学,学校特色,AACSB
明知大学,办学性质,私立大学
新疆师范大学,办学性质,公立大学
black queen,经纪公司,北京梦明时代文化传媒有限公司
庆熙大学,办学性质,私立大学
哥伦比亚大学,办学性质,私立大学
斯坦福大学,办学性质,私立大学
厦门大学,办学性质,公立大学
独协大学,办学性质,日本私立大学
香港大学,学校特色,中国大学校长联谊会
哈佛大学,办学性质,私立大学
河北师范大学,学校特色,省部共建大学
电子科技大学,办学性质,公立大学
加利福尼亚大学尔湾分校,办学性质,公立大学
北华大学,学校特色,卓越医生教育培养计划
京都大学,办学性质,日本国立大学
玛利诺修院学校,类型,女子学校
迈阿密大学,学校特色,大西洋海岸联盟
复旦大学,其他关系,中国科学院院士
日本大学,办学性质,日本私立大学
厦门大学,学校类别,综合类大学
牛津大学,学校特色,G5
早稻田大学,办学性质,日本私立大学
沈阳工业大学,学校特色,卓越工程师教育培养计划
耶鲁大学,办学性质,私立大学
早稻田大学,学校特色,学术研究恳谈会
沈阳师范大学,办学性质,公立大学
沈阳师范大学,学校特色,卓越法律人才教育培养计划
暨南大学,学校特色,世界一流大学和一流学科
悉尼大学,学校特色,亚太国际贸易教育暨研究联盟
长治医学院,学校特色,卓越医生教育培养计划
1PUNCH,其他关系,歌手
明新科技大学,办学性质,私立大学
福特汉姆大学,学校身份,爱国者联盟
京师大学堂,办学性质,国立大学
吉林大学,办学性质,公立大学
西南交通大学,学校特色,全国重点大学
四川音乐学院,办学性质,公立大学
墨尔本大学,办学性质,公立大学
庆应义塾大学,办学性质,日本私立大学
芝加哥大学,学校特色,美国大学协会
北京科技大学,其他关系,中国科学院院士
湖南师范大学,办学性质,公立大学
BOYFRIEND,经纪公司,STARSHIP Entertainment
芝加哥大学,办学性质,私立大学
香港城市大学,办学性质,公立大学
二松学舍大学,类别,私立大学
东国大学,办学性质,私立大学
香港浸会大学,其他关系,邵逸夫
中国文化大学,学校特色,优久大学联盟
郑州大学,办学性质,公立大学
清华大学美术学院,学校类别,二级学院
迈阿密大学,办学性质,私立大学
上海师范大学,办学性质,公立大学
悉尼大学,办学性质,公立大学
加利福尼亚大学伯克利分校,办学性质,公立大学
华南理工大学,办学性质,公立大学
中国文化大学,办学性质,私立大学
香港城市大学,学校类别,研究型大学
麦吉尔大学,学校特色,加拿大U15研究型大学联盟
哥伦比亚大学,学校特色,常春藤联盟
Super Junior,其他关系,E.L.F
香港科技大学,学校特色,AACSB
扬州大学,办学性质,公立大学
中央大学,办学性质,私立大学
东北石油大学,学校特色,全国重点大学
利兹大学,办学性质,公立大学
南开大学,其他关系,中国科学院院士
西南大学,其他关系,中国科学院院士
马里兰大学帕克分校,学校特色,大西洋海岸联盟
多摩美术大学,学校特色,大学宇宙工学联盟
香港城市大学,学校特色,AACSB
哈佛商学院,办学性质,二级学院
墨尔本大学,学校特色,砂岩学府
斯坦福大学,学校特色,新常春藤
香港浸会大学,办学性质,公立大学
哈佛商学院,简称,HBS
纽约电影学院,办学性质,私立大学
吉林艺术学院,办学性质,公立大学
檀国大学,办学性质,私立大学
心理诊所,其他关系,英达
香港浸会大学,其他关系,王锦辉
西方学院,学校类别,文理学院
香港科技大学,办学性质,公立大学
台湾大学,办学性质,公立大学
马里兰大学帕克分校,办学性质,公立大学
