头实体,关系,尾实体
香港中文大学,知名人物,卢策吾
张鹏,毕业院校,重庆大学
夏鼐,毕业院校,伦敦大学
哈尔滨工业大学,知名人物,中国科学院院士
中国美术学院,历任领导,莫朴
卡洛斯·阿罗约,毕业院校,佛罗里达国际大学
钱晓蕴,毕业院校,北京电影学院
上海大学,知名人物,白宾
中国人民大学,知名人物,张保生
徐坤,毕业院校,中国社会科学院研究生院
武嘉辉,毕业院校,上海戏剧学院
周洁琼,毕业院校,首尔表演艺术高中
山西大学,知名人物,谢红
安徽师范大学,知名人物,杜先能
彭士腾,毕业院校,北京电影学院表演学院
袁媛,毕业院校,北京电影学院表演学院
香港科技大学,知名人物,洪义
西南交通大学,知名人物,秦顺全
西安交通大学,知名人物,高亮
李梦,毕业院校,北京电影学院
武振素,毕业院校,中央戏剧学院
伦敦大学,知名人物,费孝通
侯俊光,毕业院校,上海戏剧学院
袁文杰,毕业院校,无线电视艺员训练班
香港科技大学,知名人物,罗俊
同济大学,知名人物,洪捷序
山西大学,知名人物,朱日祥
湘潭大学,知名人物,刘清生
杨涵斌,毕业院校,上海戏剧学院
吉林大学,知名人物,李元元
李湘,毕业院校,中国传媒大学
北京工商大学,历任领导,朱康
利颖怡,毕业院校,多伦多大学
北京邮电大学,知名人物,华学明
张少华,毕业院校,中国评剧院
艾玛·沃特森,毕业院校,布朗大学
林雅诗,毕业院校,香港演艺学院
北京外国语大学,知名人物,任小萍
刘学义,毕业院校,中央戏剧学院
高鸿业,毕业院校,交通大学
华中师范大学,现任领导,彭南生
姜承贤,毕业院校,同德女子大学
西安交通大学,知名人物,高勇
东南大学,知名人物,黄文熙
姜恩来,毕业院校,北京林业大学
林奕勋,毕业院校,中原大学
西南交通大学,知名人物,何杰
汪建熙,毕业院校,中国人民大学
北京电影学院,知名人物,刘佳乐
韩少功,毕业院校,湖南师范大学
华中师范大学,知名人物,杨光富
北京大学,知名人物,嵇文甫
北京交通大学,知名人物,宁滨
北京外国语大学,知名人物,崔天凯
京都大学,知名人物,片山哲
金英东,毕业院校,培材大学
北京电影学院,知名人物,季晨
北京电影学院,知名人物,黄梦莹
邱虹凯,毕业院校,杭州师范大学生命与环境科学学院
关明,毕业院校,新疆医科大学
香港中文大学,知名人物,张敏仪
中国传媒大学,知名人物,李湘
杨如意,毕业院校,安徽师范大学
中山大学,知名人物,刘文杰
中华全国新闻工作者协会,现任领导,吴兢
香港中文大学,知名人物,何敬才
西安交通大学,知名人物,仪垂杰
国立西南联合大学,知名人物,裘维蕃
同济大学,知名人物,蒯佳祺
三浦祐太朗,毕业院校,成城大学
柯震东,毕业院校,中国文化大学
重庆大学,知名人物,和志强
吴明海,毕业院校,合肥师范学院
西安交通大学,知名人物,钱嘉斌
陈博豪,毕业院校,北京电影学院
山西大学,知名人物,王峰
燕京大学,知名人物,周作人
