头实体,关系,尾实体
曾诗雨,伯母,王敏奕
李元景,侄子,李承乾
安藤政信,搭档,古田新太
胡善祥,丈夫,朱瞻基
葛佳佳,搭档,王时雨
徐英姬,搭档,李智雅
王茗,同学,毛若懿
林国雄,搭档,张曼玉
金惠玉,搭档,金英在
梁咏琪,丈夫,塞尔希奥·克雷斯波·古特斯
大名公主,侄女,陈留郡主
吹石一惠,搭档,山崎努
王道,搭档,狄龙
曾伟权,搭档,袁彩云
赵本山,搭档,高秀敏
黄家驹,前女友,林楚麒
劳伦·科汉,搭档,鲁珀特·伊文斯
谭倩红,搭档,于素秋
单立文,搭档,梁家辉
丁国琳,好友,方妍心
张庆庆,搭档,王俊东
艾瑞克·斯托罗兹,搭档,山姆·艾里奥特
田野,搭档,王媛可
元略,叔父,拓跋洛侯
李智云,侄女,晋安公主
埃里克斯·劳瑟,搭档,阿比吉尔·布莱斯林
朱尚煜,堂兄,朱高炽
周道务,大姨子,东阳公主
皇贞季,搭档,小连杀
邓萃雯,搭档,万绮雯
丹尼尔·克雷格,搭档,娜奥米·哈里斯
张兆辉,搭档,商天娥
萧渊藻,侄子,萧确
李俦,姑母,广宁公主
盖玛·琼斯,搭档,乔什·奥康纳
李淑,侄女,章宁公主
殷宏章,老师,李继侗
沈佳妮,同学,唐嫣
黄爱玲,搭档,王玉璋
陈龙,好友,保剑锋
伊丽莎·库斯伯特,搭档,查德·迈克尔·墨瑞
吟良犬,搭档,文森
周里京,搭档,杨奕佳
朱镇模,前女友,张俪
管乐,搭档,郭家豪
赵士术,叔父,赵仲增
劳伦斯·菲什伯恩,搭档,贾马尔·威尔克斯
赵倜,侄子,赵楗
刘濬,侄子,刘子期
韩瑜,搭档,陈珮骐
乔纳森·莱斯·梅耶斯,搭档,洛奇林·莫罗
刘京,教练,陈映红
谢坤达,妻子,柯佳嬿
奥利弗·普莱特,搭档,霍普·戴维斯
梅葆玖,学生,李胜素
朱逊炓,堂兄,朱有煽
张雪迎,搭档,果靖霖
阿丽克西斯·布莱德尔,搭档,扎克瑞·莱维
丁令光,公公,萧顺之
孙侨潞,搭档,邢菲
克里斯蒂娜·泰勒,搭档,亚当·桑德勒
白百何,同学,霍政谚
李贤,伯父,李承乾
张博,搭档,木幡龙
赵缨络,妹妹,赵珠珠
徐涛,搭档,牛莉
织田信长,儿子,织田信吉
朱孟熜,堂弟,朱高爔
馆陶公主,姐姐,襄阳公主
周觅,搭档,韩庚
周笑莉,搭档,黄一飞
林夏薇,搭档,邝洁楹
邹廷威,搭档,张雅蓓
李永波,学生,罗毅刚
奚梦瑶,丈夫,何猷君
张山,搭档,杨树林
伊丽莎白·泰勒,搭档,斯宾塞·屈塞
赵杰,搭档,余俪
丁宇辰,搭档,李易霖
李可染,儿子,李庚
周光召,父亲,周凤九
淳皇后,儿子,朱兴盛
李邈,姑母,宿国公主
克莱尔·丹尼斯,搭档,基南·卡尔金
朱有煴,堂姐,安成公主
李永波,学生,吉新鹏
王侠,孙子,王城元
许诺,搭档,钱漪
刘琦,搭档,王丽娜
朱守谦,女儿,永福郡君
李素节,侄女,玉真公主
张佑赫,搭档,姚星彤
玛丽娅·亚历山德罗芙娜,女儿,玛丽亚·亚历山德罗芙娜
朱樉,弟弟,朱桂
李宜娟,好友,钱哆多
罗兰,搭档,冯敬文
阿部显岚,搭档,足立梨花
李瑛,侄子,李豫
李基英,搭档,谢姬
赵圆圆,搭档,李至正
罗烈,搭档,唐菁
孟子义,搭档,徐恺咛
吴奇隆,搭档,左小青
金廷祐,队友,中本悠太
蔡一杰,哥哥,蔡一智
徐帆,同学,江珊
宋小宝,好友,包贝尔
丹尼斯·奎德,搭档,李秉宪
武田信玄,儿子,葛山信贞
王君安,同门,萧雅
王小帅,儿子,王天冉
李丞峰,搭档,段奕宏
范晓萱,好友,范玮琪
安乐公主,侄女,元纯陀
文章,搭档,朱杰
朱有烜,堂弟,朱贵烰
宋小宝,好友,袁姗姗
李湛,儿子,李言扬
妮娜·杜波夫,搭档,迈克尔·鲁克
王宁,搭档,桑平
曲哲明,搭档,曹云金
李芳毅,父亲,李成桂
翟冠华,搭档,娄淇
宋一雄,搭档,陈怡馨
安乐公主,侄子,元衍
朱孟焯,姑母,安庆公主
