头实体,关系,尾实体
飘香剑雨,出版社,珠海出版社
白玉老虎,出版社,珠海出版社
传统语言学辞典,出版社,河北教育出版社
小胖墩减肥记,出版社,北京少年儿童出版社
现代交换原理与通信网技术,出版社,北京邮电大学出版社
各国衍生金融市场监管比较研究,出版社,中国金融出版社
火蓝刀锋,出版社,中国三峡出版社
新写实小说选,出版社,浙江文艺出版社
毛里求斯的葬礼,出版社,江苏凤凰文艺出版社
死神,出版社,集英社
信息论基础教程习题解答与实验指导,出版社,北京邮电大学出版社
诗经析读,出版社,南海出版公司
新日本语能力测试阶梯导学,出版社,外语教学与研究出版社
随想录,出版社,作家出版社
良陈美锦,连载平台,起点中文网
现代儿童文学文论解说,出版社,海豚出版社
白话文学史,出版社,岳麓书社
我喜欢你的信息素,连载平台,晋江文学城
贪玩是头等大事-顶嘴小孩的烦恼,出版社,四川少年儿童出版社
她·依旧,出版社,陕西师范大学出版社
学校心理咨询优秀案例集,出版社,上海教育出版社
大雅之堂,出版社,作家出版社
命运天注定,出版社,当代世界出版社
你在心里面,连载平台,纵横中文网
瓯北诗话,出版社,凤凰出版社
赶马的老三,出版社,海豚出版社
我把青春献给你,出版社,长江文艺出版社
王牌投手振臂高挥,出版社,讲谈社
营销管理案例,出版社,天津大学出版社
被禁止的爱,出版社,上海书店出版社
我还在这里,连载平台,17k小说网
旧照片,连载平台,晋江文学城
社群营销,出版社,机械工业出版社
自由诗篇,出版社,中国工人出版社
悬疑惊险小说系列,出版社,中国少年儿童出版社
新新女性情调散文书系--夜有一张脸,出版社,团结出版社
乌龙院大长篇,出版社,黑龙江美术出版社
综合类模拟试题及解析,出版社,中国电力出版社
火并萧十一郎,出版社,珠海出版社
玫瑰的战车：骑士,出版社,文化艺术出版社
体育王子的罗曼史-闹的都是小别扭,出版社,外语教学与研究出版社
谁可相依,出版社,春风文艺出版社
新娘泪,连载平台,17k小说网
女金融师的次贷爱情,出版社,新世界出版社
新月传奇,出版社,安徽文艺出版社
企业战略与资本运营,出版社,经济科学出版社
论慧能,出版社,人民出版社
一个人旅行,出版社,江西科学技术出版社
乌龙院四格漫画系列：迷途菜鸟,出版社,现代出版社
嘛呢石，静静地敲,出版社,中国民族摄影艺术出版社
孤独是心的猎手：张国荣传,出版社,东方出版社
点滴,出版社,百花洲文艺出版社
一地相思两处凉,出版社,河南文艺出版社
品牌经济学原理,出版社,经济科学出版社
零点过后,出版社,海峡文艺出版社
快穿女配之反派BOSS有毒,连载平台,起点女生网
叶子的眼泪,连载平台,起点中文网
社会心理论--转型期中国社会心态研究,出版社,湖南人民出版社
中国中古思想史长编,出版社,安徽教育出版社
一粒糖,出版社,江苏凤凰文艺出版社
乌龙院四格漫画系列：偷天换日,出版社,现代出版社
黄金时代的中国儿童文学,出版社,中国少年儿童出版社
你是我的风筝,连载平台,17k小说网
眼角的伤痕,连载平台,晋江文学城
韩昌黎文集校注,出版社,上海古籍出版社
中国城市社区民主自治的理论与实践研究,出版社,人民出版社
鲁迅语录新编,出版社,花城出版社
不听话的格蕾亚,出版社,北方文艺出版社
喜欢你是寂静的,出版社,长江文艺出版社
梦想拼图,出版社,长江文艺出版社
奇妙的仪式,出版社,上海辞书出版社
有趣的生活,出版社,江苏凤凰文艺出版社
他最野了,连载平台,晋江文学城
华盖集续编,出版社,漓江出版社
心灵之旅,出版社,中国水利水电出版社
地方政府行政能力研究,出版社,山东大学出版社
城市休闲绿地景观设计,出版社,中国林业出版社
释迦牟尼佛传,出版社,海南出版社
七刀,连载平台,起点中文网
波吉亚家族,出版社,江苏凤凰文艺出版社
我不是聪明女人,连载平台,小说阅读网
工商管理系列教材：创业学,出版社,格致出版社
广场操练,出版社,天津大学出版社
WTO体制内的发展问题与国际发展法研究,出版社,武汉大学出版社
诗情画意的安徽,出版社,安徽大学出版社
超完美飓风男友,出版社,知识出版社
亲爱的爸爸妈妈,出版社,中国对外翻译出版公司
陔余丛考,出版社,中华书局
白色距离,连载平台,17k小说网
三只骄傲的小猫,出版社,北京出版社
今生唯一,连载平台,17k小说网
超越自我,出版社,中华书局
没有字的信,连载平台,百度小说
在天涯,出版社,牛津大学出版社
语言认知与翻译研究,出版社,外文出版社
大企业成长战略与竞争力,出版社,经济管理出版社
少年美术故事,出版社,海豚出版社
手握手,连载平台,起点中文网
杀破狼,连载平台,晋江文学城
乌龙院大长篇系列·前传25-27·第26卷,出版社,新世纪出版社
决战冰毒-逃离恐怖岛8,出版社,深圳报业集团出版社
弦动我心：EMI古典套装,出版社,中国文采声像出版公司
乌龙院大长篇漫画系列：卷28,出版社,黑龙江美术出版社
追捕贼王,出版社,北方文艺出版社
乌龙院大全集2,出版社,现代出版社
基于晶闸管的柔性交流输电控制装置,出版社,机械工业出版社
救荒本草,出版社,中国农业出版社
风尘四杰,出版社,群众出版社
怀孕一本全,出版社,中国人口出版社
流行性婚变,出版社,作家出版社
夫人你马甲又掉了,连载平台,潇湘书院
烟花那么凉,出版社,北方妇女儿童出版社
世界上你最疼爱的那个人，还在吗,出版社,百花洲文艺出版社
传习录,出版社,三秦出版社
礼盒金装,出版社,黑龙江美术出版社
现代素描十人集,出版社,吉林美术出版社
恋人交换生,出版社,知识出版社
闹的都是小别扭,出版社,外语教学与研究出版社
手掬你直到天亮,出版社,宁夏人民出版社
我们的颜色,连载平台,起点中文网
鲁迅的最后10年,出版社,中国社会科学出版社
俄罗斯：北极熊与双头鹰,出版社,中国水利水电出版社
还乡杂记,出版社,少年儿童出版社
这才是晚清,出版社,中国三峡出版社
从来未热恋原来已深情大结局,出版社,现代出版社
行政法解释学研究,出版社,中国法制出版社
中日战争国际共同研究之4：战时国际关系,出版社,社会科学文献出版社
游侠录,出版社,河南文艺出版社
欲望之流：中国名家小说心理分析集,出版社,时代出版传媒股份有限公司
我喜欢的样子你都有,连载平台,起点中文网
烟波江上,连载平台,晋江文学城
碧血洗银枪,出版社,河南文艺出版社
都是因为我爱你,连载平台,晋江文学城
屠格涅夫中短篇小说集,出版社,四川人民出版社
从夏天开始到夏天结束,连载平台,17k小说网
移动电子商务,出版社,电子工业出版社
青春交响曲,连载平台,起点中文网
小刀会,出版社,上海人民美术出版社
偷星九月天,出版社,中国致公出版社
黑柠檬·第二卷,出版社,北京少年儿童出版社
中日文学关系论集,出版社,上海古籍出版社
中了毒,出版社,新疆青少年出版社
大漠图腾,出版社,中国友谊出版公司
中国旅游产业转型年度报告2009,出版社,旅游教育出版社
心理医生手记,出版社,华东师范大学出版社
情在不言中,连载平台,17k小说网
禅与现代管理,出版社,知识产权出版社
乌龙院四格漫画系列：泡沫鸳鸯,出版社,现代出版社
浪漫鼠德佩罗,出版社,新蕾出版社
朝鲜半岛：地缘环境的挑战与应战,出版社,上海古籍出版社
通向卓越的十大销售流程,出版社,中国民航出版社
哆啦A梦,出版社,小学馆
中国青瓷史略,出版社,上海人民出版社
请牵着我的手,出版社,贵州人民出版社
有了梦想就去追,出版社,海燕出版社
汇率制度与国际贸易政策互动研究,出版社,中国金融出版社
爱情与我无关,连载平台,17k小说网
薪酬福利设计与管理,出版社,中国劳动社会保障出版社
BCSOK：品牌建设体系,出版社,经济科学出版社
西方心理咨询经典案例集,出版社,上海教育出版社
小耗子儿上灯台（小学卷1）,出版社,万卷出版公司
药物新制剂手册,出版社,河南科学技术出版社
醉英雄,连载平台,小说阅读网
一树一菩提,出版社,中国国际广播出版社
羽翼天使：魔术师,出版社,文化艺术出版社
失踪的总统,出版社,江苏凤凰文艺出版社
恶魔吹着笛子来,出版社,南海出版公司
21世纪高等学校通识教育系列教材：美学,出版社,武汉大学出版社
鞋癖,出版社,长江文艺出版社
我的那些年,连载平台,红袖添香网
城市猎人,出版社,集英社
乡村小姑娘,连载平台,17k小说网
原来是美男啊,出版社,长江文艺出版社
乌龙院大长篇漫画系列（卷2）,出版社,黑龙江美术出版社
法华经今译,出版社,中国社会科学出版社
容忍与自由,出版社,民主与建设出版社
倾城记,出版社,苏州古吴轩出版社有限公司
布谷鸟在风中歌唱,出版社,作家出版社
异国情,连载平台,晋江文学城
熊猫王,出版社,江苏凤凰文艺出版社
我为文狂,出版社,福建少年儿童出版社
老爸老妈没感觉,出版社,天津人民出版社
不羁的风,出版社,新世界出版社
北纬31度薰国幻爱,连载平台,17k小说网
妊娠分娩产后,出版社,吉林科学技术出版社
成名记,连载平台,17k小说网
被爱路过,出版社,上海人民出版社
人文随笔：2006春之卷,出版社,花城出版社
难得有晴天,连载平台,起点女生网
薪酬体系构建与薪酬模型设计案例教程,出版社,经济管理出版社
乌龙院（第9卷）,出版社,北方妇女儿童出版社
异化的肉身：中国行为艺术,出版社,河北美术出版社
公司股份期权与员工持股计划,出版社,中国金融出版社
高校诡秘事件档案,出版社,太白文艺出版社
唐六典,出版社,中华书局
丁丁的一次奇怪旅行,出版社,农村读物出版社
